Gene	Expr	Cluster
SOX2	1.05690109325157	1
SOX2	0.981525111497096	1
SOX2	1.01585644590196	1
SOX2	0.923980432099916	1
SOX2	0.802022920972683	1
SOX2	0.973575237776967	1
SOX2	0.845052029278135	1
SOX2	1.11477209939249	1
SOX2	0.986106027007008	1
SOX2	0.854667901457722	1
SOX2	4.1360911909115	2
SOX2	4.9895889678051	2
SOX2	4.42456799627816	2
SOX2	4.21711797358383	2
SOX2	5.25670553917023	2
SOX2	6.7031255351111	2
SOX2	4.08089589055141	2
SOX2	5.47256049410298	2
SOX2	3.52569735930216	2
SOX2	5.23007952220692	2
SOX2	9.34576828286894	3
SOX2	10.5351536670811	3
SOX2	9.83116896969602	3
SOX2	8.17867639829783	3
SOX2	8.75181073592526	3
SOX2	9.65318424240596	3
SOX2	8.60335061865541	3
SOX2	9.74392141854081	3
SOX2	9.04378952600131	3
SOX2	11.9532504164248	3
SOX2	10.6661066611294	3
SOX2	10.4467850181264	3
SOX2	9.75681354135829	3
SOX2	8.77247932014565	3
SOX2	10.6555058780544	3
SOX2	9.21876079934301	3
SOX2	9.90663486524911	3
SOX2	9.74529831216725	3
SOX2	11.2501603248585	3
SOX2	9.51134467240285	3
SOX2	11.0830303556743	4
SOX2	10.8732557745284	4
SOX2	9.96476446516026	4
SOX2	8.40164600354246	4
SOX2	8.74559092988824	4
SOX2	11.4168228914093	4
SOX2	9.58498133411025	4
SOX2	10.2906058956821	4
SOX2	10.3640749798096	4
SOX2	9.71749963396205	4
SOX2	0.196563114853895	4
SOX2	0.203897150262768	4
SOX2	0.197334054528469	4
SOX2	0.192210783187901	4
SOX2	0.205075412218763	4
SOX2	0.206478726787349	4
SOX2	0.207851057253278	4
SOX2	0.214637188780756	4
SOX2	0.203588429403769	4
SOX2	0.210971821825552	4
SOX2	2.11320410030009	5
SOX2	2.16096097748402	5
SOX2	0.0516878968513972	5
SOX2	0.317477205195932	5
SOX2	1.13890151059509	5
SOX2	1.22343005922013	5
SOX2	0.817045159527225	5
SOX2	1.82716848191236	5
SOX2	0.966462038342453	5
SOX2	1.08763381964791	5
SOX2	0.545033462354024	5
SOX2	2.40442415191608	5
SOX2	0.599613096174126	5
SOX2	0.0491922840537734	5
SOX2	1.74738511314482	5
SOX2	2.67152275961623	5
SOX2	1.68809566043557	5
SOX2	0.781506244182073	5
SOX2	-1.09492254581517	5
SOX2	1.71785961807237	5
SOX3	1.66284359174386	1
SOX3	2.90927415284616	1
SOX3	0.0341491344439204	1
SOX3	1.79017004769899	1
SOX3	1.48870798721562	1
SOX3	0.543995455878394	1
SOX3	2.46219178205384	1
SOX3	2.75836403071726	1
SOX3	-0.413624653871755	1
SOX3	1.48709450036477	1
SOX3	-0.398925405677165	2
SOX3	2.07184805847193	2
SOX3	2.47127412342893	2
SOX3	-0.39789256052877	2
SOX3	-0.133370835248804	2
SOX3	1.64847836438721	2
SOX3	-0.87427328853643	2
SOX3	0.902504712940128	2
SOX3	0.560676014670446	2
SOX3	0.730141498936753	2
SOX3	-0.547584164350007	3
SOX3	0.747353623324559	3
SOX3	2.68328054251337	3
SOX3	1.12393955936924	3
SOX3	1.12446970282309	3
SOX3	0.0700079489808492	3
SOX3	1.14839591805432	3
SOX3	1.80838435041596	3
SOX3	2.90941620155847	3
SOX3	-1.98233393687712	3
SOX3	1.25949490526339	3
SOX3	-0.311012083168448	3
SOX3	0.892688774444461	3
SOX3	1.14073086940586	3
SOX3	1.94740853266085	3
SOX3	1.94878682160977	3
SOX3	-0.205411111302735	3
SOX3	-0.176713726230746	3
SOX3	0.0413852265547354	3
SOX3	0.610845976683164	3
SOX3	2.18808264214177	4
SOX3	2.85878362182385	4
SOX3	1.54875954735823	4
SOX3	2.1860721274091	4
SOX3	1.78183592953323	4
SOX3	1.20916622941055	4
SOX3	1.89548669934198	4
SOX3	1.79292299113249	4
SOX3	2.005259741745	4
SOX3	0.78726901843146	4
SOX3	1.87121988667149	4
SOX3	1.69792378879916	4
SOX3	2.49351044779746	4
SOX3	2.00181960342402	4
SOX3	2.23780480885706	4
SOX3	1.99988699809575	4
SOX3	1.78131057430449	4
SOX3	1.75958129912848	4
SOX3	1.67966470356287	4
SOX3	2.12136709206957	4
SOX3	2.65009843767654	5
SOX3	2.55025213574356	5
SOX3	1.55232031233066	5
SOX3	2.02418066767343	5
SOX3	3.01490745904415	5
SOX3	2.65593806093075	5
SOX3	1.7607344384597	5
SOX3	2.13356731555443	5
SOX3	1.8102975144454	5
SOX3	1.92866050365262	5
SOX3	2.11246620379132	5
SOX3	1.37522000472725	5
SOX3	1.86239578751636	5
SOX3	1.57298237292039	5
SOX3	1.72225336173531	5
SOX3	2.47238370663299	5
SOX3	2.629514450937	5
SOX3	2.23090227468541	5
SOX3	1.84015101462667	5
SOX3	1.64628972012651	5
